,0.0m ~ 5m 0s,5.0m ~ 10m 0s,10.0m ~ 15m 0s,15.0m ~ 20m 0s,20.0m ~ 25m 0s,25.0m ~ 30m 0s,25.0m ~ 30m 23s
2,35,30,27,17,32,32,0
3,7,5,6,5,1,3,0
5,0,0,1,0,1,0,0
7,3,2,0,4,1,1,0
IN,15,18,6,7,14,11,0
OUT,30,19,28,19,21,25,0
TOTAL,45,37,34,26,35,36,0
